dateq,v_rs_cpi,v_rs_fxlcu,v_rs_gov,v_rs_rate,v_rs_rgdp,v_rs_ur,v_rs_urof,v_rs_wag,v_wd_oilexp,v_wd_oilspot,d_rs_rgdp,d_rs_cpi,d_rs_wag,d_rs_gov,d_rs_rate,d_rs_ur,d_rs_urof,d_rs_fxlcu,v_wd_oil,d_wd_oil,trend
2000q1,0.472447872,,,0.270233333,-0.001907433,,,,,26.96390533,-0.001907433,0.47244787,,,,,,,,,41
2000q2,0.531282067,,,0.270000011,0.262335271,,,,,27.01229477,0.26233527,0.53128207,,,,,,,,,42
2000q3,0.656413138,,,0.2667,0.069597527,,,,,30.65969276,0.069597527,0.65641314,,,,,,,,,43
2000q4,1.061211824,54.84704971,,0.2667,-0.04020394,,,,,29.91793633,-0.04020394,1.0612118,,,,,,,,,44
2001q1,1.191292644,58.70011139,,0.227133334,0.031315785,,,0.088002957,,25.82421875,0.031315785,1.1912926,0.088002957,,-0.043099999,,,,,,45
2001q2,1.32511723,59.30340195,,0.170100003,0.017622758,,,-0.006331984,,27.28953171,0.017622758,1.3251172,-0.006331984,,-0.099900007,,,,,,46
2001q3,1.125942588,59.65909195,,0.222200006,0.052736908,,,0.179299474,,25.30046082,0.052736908,1.1259426,0.17929947,,-0.044499993,,,,,,47
2001q4,0.500413477,59.94656754,,0.166266665,0.169418037,,,0.384604275,,19.39546967,0.16941804,0.50041348,0.38460428,,-0.10043333,,,0.092977069,,,48
2002q1,0.372593045,60.04956818,,0.124300003,0.053584654,,,0.277214617,19.46060562,21.11603165,0.053584654,0.37259305,0.27721462,,-0.10283333,,,0.022988999,1.655426,0.078396643,49
2002q2,0.186034456,60.63405228,,0.094999999,0.07278914,,,0.427335858,24.65213013,25.1145153,0.07278914,0.18603446,0.42733586,,-0.075100005,,,0.02243801,0.46238518,0.018411073,50
2002q3,0.145852089,60.85651016,,0.094999999,0.081075579,,,0.266409934,25.12915039,26.88863564,0.081075579,0.14585209,0.26640993,,-0.12720001,,,0.020071009,1.7594852,0.065436016,51
2002q4,0.118204139,61.22571182,,0.094999999,0.048664883,,,0.210748404,27.95449066,26.73781204,0.048664883,0.11820414,0.2107484,,-0.071266666,,,0.021338074,-1.2166786,-0.045504045,52
2003q1,0.120755464,62.78022385,,0.090000004,0.057362333,,,0.134185687,30.82245636,31.49714279,0.057362333,0.12075546,0.13418569,,-0.034299999,,,0.04547336,0.67468643,0.02142056,53
2003q2,0.119984455,65.00582886,,0.090000004,0.058972288,,,0.138559639,26.07500076,26.17030716,0.058972288,0.11998446,0.13855964,,-0.004999995,,,0.072101012,0.095306396,0.003641776,54
2003q3,0.080391794,65.35890198,,0.090000004,0.027778557,,,0.141176626,26.24277306,28.42636299,0.027778557,0.080391794,0.14117663,,-0.004999995,,,0.073983736,2.1835899,0.076815662,55
2003q4,0.077119559,67.28285217,,0.090000004,0.034903176,,,0.146428093,28.10000038,29.40593719,0.034903176,0.077119559,0.14642809,,-0.004999995,,,0.09893132,1.3059368,0.044410651,56
